,GSM3464197_1.0463,GSM3464198_3_0698,GSM3464199_4.0943,GSM3464200_9.0573,GSM3464201_B1,GSM3464202_B10.c.B76,GSM3464203_B100,GSM3464204_B101,GSM3464205_B107,GSM3464206_B109,GSM3464207_B111,GSM3464208_B113,GSM3464209_B114,GSM3464210_B116,GSM3464211_B124c,GSM3464212_B132,GSM3464213_B133,GSM3464214_B137,GSM3464215_B138,GSM3464216_B14,GSM3464217_B140,GSM3464218_B141,GSM3464219_B142,GSM3464220_B144r,GSM3464221_B145,GSM3464222_B146,GSM3464223_B147,GSM3464224_B15,GSM3464225_B157,GSM3464226_B159,GSM3464227_B160,GSM3464228_B161,GSM3464229_B162,GSM3464230_B168c,GSM3464231_B169,GSM3464232_B170c,GSM3464233_B173,GSM3464234_B175,GSM3464235_B178,GSM3464236_B18,GSM3464237_B181,GSM3464238_B182,GSM3464239_B184,GSM3464240_B186,GSM3464241_B187c,GSM3464242_B188c,GSM3464243_B189c,GSM3464244_B19,GSM3464245_B190c,GSM3464246_B191,GSM3464247_B2,GSM3464248_B20,GSM3464249_B202,GSM3464250_B203,GSM3464251_B206,GSM3464252_B207,GSM3464253_B208,GSM3464254_B21,GSM3464255_B212,GSM3464256_B214,GSM3464257_B22,GSM3464258_B225,GSM3464259_B227,GSM3464260_B228,GSM3464261_B231,GSM3464262_B24,GSM3464263_B241,GSM3464264_B242,GSM3464265_B243,GSM3464266_B244,GSM3464267_B247,GSM3464268_B250,GSM3464269_B28,GSM3464270_B29,GSM3464271_B3,GSM3464272_B31,GSM3464273_B35,GSM3464274_B36,GSM3464275_B37,GSM3464276_B39,GSM3464277_B4,GSM3464278_B41,GSM3464279_B44,GSM3464280_B45,GSM3464281_B46,GSM3464282_B48,GSM3464283_B49,GSM3464284_B5,GSM3464285_B50,GSM3464286_B52,GSM3464287_B53,GSM3464288_B59,GSM3464289_B64,GSM3464290_B66.B223,GSM3464291_B69,GSM3464292_B70,GSM3464293_B72,GSM3464294_B73,GSM3464295_B75,GSM3464296_B77,GSM3464297_B79,GSM3464298_B80,GSM3464299_B82,GSM3464300_B84.B200,GSM3464301_B96,GSM3464302_B98,GSM3464303_B99,GSM3464304_Bp.c.B60,GSM3464305_Cint_24,GSM3464306_Cint1,GSM3464307_Cint10,GSM3464308_Cint11,GSM3464309_Cint18,GSM3464310_Cint19,GSM3464311_Cint21,GSM3464312_Cint22,GSM3464313_Cint9,GSM3464314_L_0173,GSM3464315_P.0451,GSM3464316_R_0016,GSM3464317_R.0693,GSM3464325_10496,GSM3464326_20688,GSM3464327_20699,GSM3464328_20718,GSM3464329_20741,GSM3464330_30665,GSM3464331_30706,GSM3464332_30728,GSM3464333_30795,GSM3464334_30825,GSM3464335_40976,GSM3464336_41087,GSM3464337_41195,GSM3464338_41270,GSM3464339_61007,GSM3464340_61029,GSM3464341_61041,GSM3464342_61085,GSM3464343_61096,GSM3464344_61104,GSM3464345_61171,GSM3464346_61182,GSM3464347_61193,GSM3464348_70616,GSM3464349_70638,GSM3464350_70650,GSM3464351_L0162,GSM3464352_L0214,GSM3464353_N0107,GSM3464354_N0140,GSM3464355_N0167,GSM3464356_N0537,GSM3464357_N0546,GSM3464358_N0736,GSM3464359_N0781,GSM3464360_P0514,GSM3464361_P0833,GSM3464362_P0919,GSM3464363_P0935,GSM3464364_P0945,GSM3464365_P0978,GSM3464366_P1078,GSM3464367_P1099,GSM3464368_P2012,GSM3464369_P2078,GSM3464370_R0039,GSM3464371_R0103,GSM3464372_R0421,GSM3464373_R0526,GSM3464374_R0821,GSM3464318_UC8926,GSM3464319_UC9009,GSM3464320_UC9011,GSM3464321_UC9023,GSM3464322_UC9035,GSM3464323_UC9101,GSM3464324_UC9612
1-Dec,0.000481761,0.1637705,7.50E-07,0.000138781,0.100839358,0.006225914,0.000568675,0.138039844,0.3098444,0.090335457,0.093799884,0.001032335,0.004316457,0.001727819,0.001336558,0.099664164,0.416137135,0.149131872,0.001523086,0.001840901,0.000783962,0.288540475,0.001343467,0.240011408,0.174145598,0.001898102,0.004659658,0.091302425,0.001545424,0.130327974,0.152675377,0.0012236,0.076588099,0.003225432,0.000983392,0.08009248,0.115677849,0.003726987,0.19562729,0.0031217,0.001090397,0.000501144,0.001068699,0.000393665,0.088951342,0.003231909,0.001028376,0.002027783,0.001323207,0.346767448,0.001374072,0.003046437,0.001614626,0.164047367,0.254818955,0.000528951,0.104143259,0.003235494,0.134880288,0.001038133,0.130311366,0.001101833,0.000642826,0.107766328,0.001850108,0.001261413,0.125026283,0.001750586,0.077262964,0.001056161,0.001308348,0.001502491,0.003399526,0.000479397,0.108610497,0.002184072,0.062899645,0,0.162769472,0.347748418,0.001751076,0.006525031,0.033592855,0.002111137,0.003231031,2.41E-05,0.050296205,0.001162648,0.000917585,0.200254487,0.037992629,0.21340701,3.69E-08,0.160783397,0.233247538,0.00733695,0.000641718,0.104445495,0.00899793,0.103358651,0.001095457,0.002212666,0.003552357,0.003189387,0.001589148,0.00486777,0.003768126,0.002856102,0.002428002,0.000464688,0.003543664,0.096273189,0.003757018,0.089520388,0.003270904,0.209244979,0.007661079,0.082059159,0.000634694,0.002677176,0.052933335,0,0.051539159,0.077443458,0,0,0.052220971,0,0,0,0.1012207,0,0.043904254,0.045309599,0,0,0,0,0.042880192,0,0.057490892,0,0,0.041043038,0.061864104,0,0,0,0,0,0.031254873,0,0,0.036359004,0,0,0,0,0,0.032828004,0,0,0.059488188,0,0,0.0562038,0.02667515,0,0,0,0,0.002629842,0.249722021,0.001028549,0.000729473,0.000543046,0.001514251,0.000360746
1-Mar,2.16891797,1.883327556,1.968923864,2.174486317,1.772907565,2.151680254,1.417120689,2.065417212,1.153163275,1.22426259,2.364068101,1.716609051,1.466266891,1.564822006,2.109006111,1.6136118,2.579197047,1.22579317,2.267634671,1.292905404,1.253378184,1.985085049,2.461722373,2.112846897,2.681838279,2.548281249,2.104813006,2.495597956,0.864387043,1.660120861,1.349987971,0.831764577,1.016004165,1.471031344,1.284620732,1.129533612,0.79124313,1.300000687,1.131082378,2.39718414,3.199353543,1.988124767,2.910680862,0.90125965,2.118316531,1.061568849,1.735500515,1.89841347,2.558595816,1.951460975,1.334488187,0.796099328,1.470994915,0.727606838,1.968230866,1.765343789,1.175134933,2.756952817,1.798535826,2.127237062,1.102160912,1.469422364,1.505956967,1.934561791,1.6261494,1.192276242,1.412299192,1.299133271,1.81550985,1.388106859,0.909170944,1.272632397,1.384409054,3.46139759,2.168908345,2.663426601,2.474669659,1.851799004,1.928881927,1.950886418,1.84300296,2.667608326,2.088731855,2.776325114,0.929341079,2.844480062,1.312444455,2.095735423,2.764583952,2.466373925,1.838270081,0.875449817,1.764957553,1.173888566,2.333420871,0.743606305,1.815386883,2.391061044,1.089023502,1.495679815,0.993274373,1.917347731,0.736835169,0.616305936,1.736972808,1.169437609,1.909945872,1.584019632,1.977115035,1.620117165,0.983100501,1.758661354,1.789533123,2.395978593,1.933040027,1.871599237,1.126239432,2.495641444,1.922376747,2.625328944,3.115669194,1.130252182,1.473683023,1.725029993,1.843300512,1.299772162,0.761575485,1.150260709,1.235163349,1.050000106,1.541594133,1.838076408,1.647351354,2.488340189,1.024064312,1.013004813,1.795845895,1.666124849,1.236645681,1.06464836,1.212027643,2.000122624,1.394821416,1.484143288,1.790359185,1.400029618,1.640907773,1.434828356,2.128778398,1.482905061,1.439256101,0.951128954,1.76800219,1.204222117,2.028533792,1.491986459,1.05021609,1.077393414,1.276180995,1.279916962,1.477164393,1.621969796,1.880756042,1.087666501,1.129441293,1.445218175,1.283643279,2.036559599,1.835823042,1.622789822,1.672420816,0.586839668,0.720208409,1.287224043,1.673859403,0.805747277,1.519416097,1.58661104
1-Sep,1.744901632,1.510850549,1.544984827,1.765258911,2.726508645,2.074738331,2.026700926,2.723752946,2.215818356,2.310206316,2.507855517,2.381377518,2.559846631,1.856240752,2.00725651,1.694652909,4.489774118,2.099022464,3.346481821,2.035641503,2.73919788,3.057897308,1.389550292,2.197308708,3.061219746,3.646508309,2.023677629,1.383480355,2.161774841,2.183029099,2.410986862,2.373570263,2.390552133,1.823044142,2.871179304,2.523039982,3.393033097,2.493601224,2.146443429,2.496610625,2.277047435,1.833128925,4.01519424,2.490724147,2.137142805,1.710833979,1.427954737,2.036791668,2.069313776,2.697362388,3.956065948,2.257421034,2.489584037,1.430081836,2.052690634,1.603496979,1.799754605,2.755748588,2.494418171,2.918912837,2.483591376,1.480518476,2.035148798,2.003033681,1.72141641,1.478143473,1.575181611,1.916182343,2.370105679,2.400291995,1.936960125,2.604334686,2.137988712,3.908774487,1.647963749,2.332501717,1.185162465,1.246979579,2.135032433,0.577090881,1.953295043,2.548473616,1.925201919,1.726683017,2.304546087,1.933043805,2.162893189,2.285846057,3.138685066,1.853700293,2.421314875,1.547750873,1.424626534,3.647498721,0.85595622,3.360885351,1.458770451,1.054077445,1.431007778,1.062342798,3.237770196,1.613880498,2.100429387,1.981286421,1.425803018,2.665144872,2.091994266,1.686773913,1.907221416,2.824519407,1.327951738,1.670427949,1.581756157,2.357687119,2.035391652,1.921104945,1.721744497,1.482223582,2.26090486,2.200934298,2.325852653,1.072558609,1.40166323,1.596100284,0.756216307,1.294729544,0.956597933,1.390640174,1.010385997,1.11669079,1.901980935,2.476306505,1.150852085,2.98453649,1.409434386,0.942931818,2.933519764,1.627149212,1.065158675,0.735133074,0.945890072,2.097142182,1.352255697,1.7946446,1.558203948,1.277734857,1.493406523,1.124553125,2.336391943,2.166532285,1.296627731,1.112680118,2.264773608,1.705703708,2.326436678,1.284662185,1.19471116,1.758234943,1.663904736,1.157897429,1.775914424,1.121870815,2.735099705,1.711472881,1.271491415,1.689965554,1.321662615,3.200383507,2.598777277,2.52269859,2.847588085,1.71742967,1.98220324,1.21754094,1.564309874,1.03794443,1.294006048,1.026311407
10-Mar,0,6.06E-10,0,0.041036728,0,0.206369411,8.30E-10,0.045673057,0.094800199,0.25717842,0.001835873,0.160703381,0.045565706,0.352118943,3.35E-10,0,0.620868823,0.000767412,3.12E-10,0.262214241,0.00189133,0.592869843,0.00108338,0,0.036216349,0,0.124678178,6.87E-10,0.125079067,0.000640828,0.149282781,8.77E-10,0.212088672,0.147254591,0.000794634,0.152522226,0.003391998,0,8.84E-10,0.001699878,0.000884206,5.45E-10,0.062406768,0.22660224,0.000862138,0.001306367,4.78E-10,2.35E-10,0.001050755,0.179737787,0.001452884,7.72E-10,0.191445158,0.001632049,0.004072802,5.57E-10,0.292815902,0.002620726,0,5.27E-10,0.002975057,0.37729925,0.000783557,0.035416006,0.000848675,0.273816631,0.001818755,0.59558768,0.003799121,0.058008318,0.052531639,9.33E-10,0.001740802,0.161305974,0.03569555,0.001666965,0.00147495,0.002138623,0,0.336469641,0,0.003986784,0.000779919,0.034371107,0.245356924,0,0.000751099,0.031864208,0.001117232,0.004032535,0.001379412,0.208741981,0,0.510461698,0.09578632,0.043029332,0,3.84E-10,0,0.001033172,0.002663366,1.67E-09,0.003689328,0.121497678,3.88E-10,2.45E-09,0.001801393,0.001738669,0.336819228,0,0.316883704,0.031542564,0.001427246,4.20E-10,0.001104602,0.002905934,0,0.001615102,0,2.90E-10,0.099927495,0.013442007,0,0,0,0,0,0,0,0,0.037157559,0.012820449,0,0,0.019169424,0,0,0,0,0,0,0,0,0.014817738,0,0,0.032739015,0,0,0,0,0.043067699,0.012356019,0,0.010461537,0,0,0.013138717,0.012896462,0,0,0,0,0,0,0.030915442,0.028083363,0,0,0.013361391,0.05162463,0,1.40E-13,0,0,0,0.000736354,3.15E-10
10-Sep,5.107407504,4.924308957,4.471232991,4.712276614,4.299552392,4.528671329,4.108758614,4.552948773,4.288882681,3.813955586,4.632791679,3.963585096,4.072011448,4.036459375,4.430412407,3.303741302,5.164476567,4.054943959,3.443078804,4.733999612,3.499003936,3.766361937,4.254465549,4.346417994,4.930401458,4.675364313,4.257817758,4.702108949,3.569624759,4.199829364,3.467670755,3.272669718,3.982318258,3.495490511,3.05650723,3.371907298,3.218914429,3.551109914,3.433223877,4.610469751,4.836605859,4.527620877,4.484299281,3.26270375,4.480549496,3.936948821,4.602070808,4.779716729,4.341544619,5.116976009,2.726351692,3.494402809,3.756393531,2.98373241,4.411548273,4.782235557,3.977527221,4.963788523,3.878195635,4.282521353,3.61117238,3.787860779,4.314580525,4.566821241,4.695108555,3.987693772,4.051937583,4.000234419,4.201555452,3.577489254,3.413271823,3.76599082,3.585154847,4.564567182,4.784608674,4.671032894,4.279924388,4.686511733,4.755832959,4.562718664,4.366021403,4.937137202,4.488534289,4.666040747,3.260365959,4.927844319,4.351628329,4.797075251,4.939682638,5.059904664,4.603632279,3.981377764,4.579475851,3.279902108,4.846026885,3.51606559,4.640169726,4.37490037,3.966162798,4.397741365,3.667244981,4.880396566,3.957236726,3.321669829,5.421950355,3.346908681,4.492436468,4.429749851,4.745898819,3.624112595,4.603739086,4.003053476,3.933600963,4.597912505,4.833163341,4.453715105,4.097754048,4.956628226,3.571591872,4.459208639,5.063235432,3.488977667,3.36243482,3.476887126,3.741930732,3.767760719,3.31558217,3.560959458,3.338615525,3.578516105,3.844927918,2.903836546,3.670081181,3.523511774,3.611207798,3.451714895,3.539543478,3.999765543,3.75962458,3.9153488,3.895583764,3.673160646,3.420660252,4.282476873,3.612564818,3.745237332,3.328662722,3.423801348,3.376397359,3.742469783,3.299383879,3.772962445,3.629018494,3.485091877,3.693966382,3.747924416,3.649523492,3.329724953,3.443487306,3.521691513,3.627209926,3.823586335,3.791209784,3.460467364,3.779364793,3.580157547,3.685828047,3.262909667,4.057493596,3.689478088,3.045876273,4.298555681,2.42612786,4.533986875,4.567058626,4.055429952,4.803955434,4.361733274
11-Mar,0,0,0,0.220342338,0,0,0,0,0,4.95E-05,0,0,0,0.300254953,4.10E-06,0.065219211,0,0.280336356,0,0,0,0,0.861180427,0.53269797,0.096364552,0,0,0,0,0,0.003560013,0,0,0,0.000748455,0,3.42E-06,0,2.45E-11,0.001025465,0,0,0.000194914,0,0.000812038,0,0,0.001109068,0.000993538,0,0,0,0,0.398557237,0.448788913,5.04E-07,0,0.0008368,0,0,0,0,0.285688658,0.371726122,0,0.000962136,0,0,0,0.311535666,0,0,0,0,0,0,0.098097186,0.676259283,0,0,0.272448468,0,0.452269645,0.000960822,0,0,1.93E-09,0.000890145,0,0,0.059542317,0,0,0,0,0,0.20482308,0,0,0,0,0,0,0,0,0,0,1.49E-11,0.298407288,0,0.186718593,0,0,0.211764816,0,0,0,0,0,0.208880541,0,0,0.059692652,0.045340916,0.075488545,0,0,0,0,0,0,0,0.063781238,0.048610066,0.058338664,0,0.043250282,0,0,0.041065474,0,0,0,0,0.035249746,0,0,0,0.059475451,0,0,0,0.043636094,0,0,0,0.039564891,0,0,0,0,0,0,0,0.03747725,0.032875387,0.083842672,0,0.0599357,0,0.122791707,0,0,0,0.00093755,0,0,0
11-Sep,4.925273143,5.18817143,4.757780676,4.689025134,5.076114384,5.149682095,4.351197209,5.089150655,4.840211433,4.568798257,4.632204224,4.450617424,4.976601927,4.060177117,4.51259984,4.517193791,5.778550282,4.681578574,4.455123338,5.408997112,4.225151512,4.429662826,4.342369846,4.630912143,4.764701774,4.673844708,4.377443078,5.118554918,3.740798068,4.653031346,4.527583347,3.308625902,4.254049755,4.042083959,4.046220377,3.759177144,3.556466203,3.905562705,3.740398727,5.553759831,4.952887984,4.228441617,5.428752097,4.125510594,5.286652013,4.539109169,5.936277515,5.136014977,4.467794637,4.152126619,3.60261128,3.59280384,4.038392282,4.516153861,4.784650548,4.440228012,4.274612041,5.449558073,4.167237484,4.214194762,3.508745554,4.668663778,4.437853588,4.701427071,5.251688799,4.211378274,4.276035048,4.192722846,4.818825003,3.333907413,4.017913002,4.00402491,3.595420114,4.564865895,5.386252242,4.516935454,4.984256663,4.791402558,5.194772611,4.392798241,4.819463821,4.961285302,4.659445102,4.673923835,3.636531821,5.545631742,4.227017083,4.99450279,5.286093807,4.514570468,4.13229716,3.68730709,4.157836004,3.114142107,5.30605075,3.927744783,5.143560766,4.780320599,3.900374155,4.428490826,4.40599236,5.997951723,4.26713874,3.518925344,4.512979016,3.971828616,4.811183285,4.479631542,5.106214296,4.211440576,5.104122756,4.870645833,4.398938603,5.059606204,4.960280015,5.13917477,4.363556586,5.016117411,4.275334895,5.120517834,5.524198483,4.192754403,3.773447828,3.890602336,4.249452926,4.220910322,3.552057311,3.811758719,3.654286589,3.961864066,4.109151579,3.42571307,4.308135127,4.575384948,3.982400408,3.94938552,4.05853297,4.614674512,4.221977587,4.269549371,3.515901644,3.9552663,3.908515117,4.797038925,4.237089472,4.045425496,3.707911254,3.558439082,4.296229789,4.342085338,3.794020696,4.120044987,3.830772508,3.625504295,4.172711519,4.115624254,4.070818638,3.521955279,3.939677937,3.915501779,3.793427737,4.224410782,4.112975303,3.790646943,4.143319943,4.072405973,4.070981742,3.826263733,4.649943046,4.176083368,3.640135012,4.175580487,2.359344056,4.489176821,4.71288187,4.302055788,3.660597811,4.518623259
12-Sep,0,2.65E-05,0,0,0.019462667,0.006898563,0.121039943,0.013525405,0.009828205,8.89E-05,0.166700022,0.075200174,0.125601116,0.076031584,0.213996698,0,0.009243564,0.013174871,5.80E-05,0,0.165146585,0.26771676,0.010775944,0.085118272,0.003546614,0,0.000741653,0.083726008,0.167677777,0.012757259,0.069543661,0.04526472,0.010931303,0.055786913,2.09E-05,0,0.199063576,0.083374601,0.253511313,0.000669946,0.000540117,0.11091843,0,0.083976067,0.154275999,0.012984953,0,0.007011959,0.0162942,0.084326784,0,0,0.009799275,0,0,0,0,0.080094391,0.120153506,0,0.067239718,0,0.000116277,0,0.000508,0.093263629,0.056042277,0,0.134229484,0.216212714,0.135302654,0.000274963,0.288601895,0,0,0.149264569,0.014652943,0,0,0,0,0,0,0.093149213,0.324607863,0,0.04466088,0.166270679,0,0,0.008899588,3.84E-05,0.265979305,4.13E-05,0.028709596,0,0.007986355,0.092935775,0.095520746,0,0.120549285,0,0.000101129,0.040175077,0.087877735,0,0.104933477,0.079768853,0,0,0.000252497,0.00930999,0.009096797,1.43E-05,3.26E-05,0,3.72E-05,0,0,0.01587104,0.023881414,0,0,0,0,0,0.072561215,0,0,0,0.073053791,0,0,0,0,0.044488687,0.060284284,0,0,0,0,0.027316576,0.034558174,0,0,0,0,0,0,0.042722633,0,0.050464084,0,0,0.047918451,0,0,0,0.067052985,0,0,0.091669778,0.121323541,0,0,0,0,0.039424798,0.1320531,0,0,0.116279843,0.057908119,0.024829285,0.231692906,1.14E-06,0.032905142,0
14-Sep,0.010642336,0.222218463,0.22554888,0.26333133,0.193675876,0.406231882,0.325816971,0.081283855,0.216961388,0.096378991,0.28526253,0.253852552,0.197337019,0.11926958,0.239149933,0.279262082,0.355831568,0.273577953,0.200411443,0.141691746,0.159545231,0.209513256,0.290095248,0.270044474,0.259104929,0.393801673,0.154058191,0.292970171,0.319899972,0.348649415,0.162906075,0.226175562,0.120998686,0.154527475,0.241356968,0.094250801,0.220554082,0.41695753,0.141931043,0.322214297,0.330122371,0.007146478,0.350843452,0.215596598,0.17468253,0.086925448,0.041812517,0.232315697,0.205630232,0.166594626,0.074585721,0.065867713,0.128091304,0.09464875,0.270342352,0.343742091,0.240557353,0.556176293,0.372603358,0.191033229,0.274629036,0.239975981,0.321820754,0.317636336,0.364767393,0.443256543,0.36543275,0.192131026,0.28340622,0.091702136,0.162338958,0.380977633,0.318179146,0.430540064,0.287595223,0.522072828,0.090820106,0.519521776,0.12003815,0.273673429,0.201200988,0.55288854,0.426262607,0.26773833,0.371779641,0.39433743,0.179982317,0.536359316,0.394122273,0.150394602,0.360039458,0.405421702,0.245927616,0.207770436,0.316161965,0.149952577,0.375656703,0.291445607,0.395235035,0.192213106,0.334360037,0.389336623,0.191001634,0.396650536,0.420728153,0.414604265,0.22092301,0.136298764,0.239468922,0.127975656,0.135520817,0.306084882,0.218805961,0.224462645,0.316510715,0.400202355,0.250208508,0.299869436,0.068983458,0.133312972,0.273232992,0,0,0,0,0,0.021524784,0,0,0,0.021951689,0,0,0,0,0,0,0,0,0.024797945,0,0,0.040469412,0,0,0,0,0,0,0.015767728,0.013172927,0,0,0,0,0.016827039,0.029581795,0,0,0,0,0,0,0,0,0.011976829,0,0,0,0,0,0.172253235,0.21102715,0.531618511,0.121729342,0.199921684,0.368482296,0.186513235
2-Mar,4.182612852,4.232323065,4.511815894,4.235750033,4.270641065,4.20509531,4.315283634,4.394466124,4.251726666,4.185771419,4.412388625,4.350864946,4.434348001,4.607567044,4.685598211,4.488791336,4.466078909,4.621155166,4.974387055,4.39179521,4.302648062,4.986265293,4.490011684,4.698174019,4.427009396,4.314725524,4.738946136,4.299002821,4.155554961,4.249141903,4.812570102,4.390695197,4.731796908,4.416008737,4.610552431,4.807262174,4.470094293,4.50603697,4.148543695,4.212289177,4.400237337,4.532142379,4.548806499,4.794800534,4.839002175,4.094084021,3.987602828,4.135772892,4.839380177,4.495432947,5.093137582,4.854035555,4.539692354,4.450003689,4.357397171,4.253179981,3.94446493,4.41644119,4.379364503,4.986474649,4.018678679,4.333867351,4.011916006,4.432966086,4.281831758,4.282706671,4.515012226,4.472260302,4.636044526,4.545603944,4.191617919,4.412971163,3.747376657,4.476679788,4.153813441,4.012121673,4.520975333,3.921303024,4.243219692,3.743245663,4.185525649,3.870502817,3.920140828,4.349344045,3.455248301,4.084089784,4.240329596,4.202112067,4.585046655,4.009266542,4.254397518,3.990401267,3.776662003,3.921045897,3.523800295,4.197598084,4.178842096,3.911902459,3.833234195,3.96767586,4.02521488,3.86894352,3.758463089,3.943058639,4.399116393,3.321853073,4.58770702,4.030212464,4.362582102,4.455761197,4.24047462,4.230871627,4.182819402,4.292281136,4.309423602,4.267633173,4.364789521,4.394822788,4.509068722,4.415833016,4.632210041,4.32210842,4.450181897,4.538718179,4.097374823,4.755501853,4.194536248,4.571464455,4.358220416,4.468811367,4.396878739,4.163514834,4.191286276,4.619248658,4.198006887,4.274119994,4.386176352,4.557838926,4.062769328,4.041672292,4.291677223,4.327284963,4.565274239,4.491609421,4.516242127,4.236400773,4.502368795,4.605079434,4.099741243,4.301594962,4.349903074,4.484292836,4.730770363,4.659724804,4.361698188,4.419390569,4.477573719,4.459287342,4.62859281,4.299999223,4.771114386,4.450584434,4.667296082,4.537848932,4.305824639,4.653587456,4.309474535,4.577972569,4.743224116,4.573223026,4.458178553,3.335734774,3.146228345,3.767781902,3.582194682,3.841349225,3.562633197,3.43684677
